237 59 92 1
246 27 143 1
240 60 142 -1
262 54 127 1
173 14 130 1
184 40 90 -1
239 23 141 -1
181 50 86 1
232 59 99 -1
181 67 136 1
225 13 130 -1
229 49 89 -1
178 55 132 1
189 61 99 -1
189 58 72 -1
238 63 154 1
254 20 130 1
241 49 151 1
178 51 135 -1
182 44 103 -1
247 53 138 1
245 65 152 1
249 15 94 -1
231 61 90 1
238 41 131 1
191 59 94 -1
166 20 135 -1
239 60 94 -1
168 73 149 -1
244 74 96 -1
172 69 155 1
193 24 141 -1
237 27 148 -1
235 27 86 -1
194 26 142 -1
183 21 83 -1
185 82 131 1
170 65 150 -1
185 70 89 -1
181 27 96 -1
180 38 137 -1
230 46 124 -1
219 10 72 -1
225 58 80 -1
190 26 82 -1
242 65 103 1
191 13 89 -1
222 54 138 -1
228 23 69 -1
233 50 125 1
232 37 154 1
181 22 77 -1
175 56 86 -1
248 75 80 1
238 48 90 1
171 55 100 1
248 32 127 -1
238 34 138 -1
191 66 136 1
160 26 76 -1
188 32 87 -1
244 10 103 -1
175 42 137 -1
196 76 136 -1
188 63 81 -1
186 57 102 -1
181 26 142 -1
173 26 83 -1
179 50 84 -1
198 63 94 -1
195 10 102 -1
239 41 88 1
230 54 96 -1
242 51 129 1
180 43 136 -1
194 64 133 -1
255 23 97 -1
245 54 92 1
238 42 135 -1
246 74 163 -1
160 17 153 -1
236 32 128 -1
241 41 89 1
191 22 82 -1
181 78 104 1
171 72 151 1
242 43 70 1
167 21 145 -1
221 55 133 1
171 10 137 1
175 69 134 -1
243 33 101 -1
183 23 156 -1
222 48 87 -1
234 46 90 -1
239 53 95 -1
235 68 94 1
254 68 94 -1
175 57 80 -1
259 28 137 -1
177 68 161 1
178 67 108 -1
237 38 91 1
176 28 89 -1
237 43 152 -1
245 69 124 1
175 43 153 -1
254 15 127 1
244 60 146 1
257 61 136 1
230 40 123 -1
170 49 119 -1
182 25 94 -1
194 41 77 -1
254 80 160 1
232 74 89 1
238 31 133 -1
267 67 124 1
177 39 77 -1
251 81 98 -1
234 62 138 -1
245 56 100 1
227 28 133 -1
170 43 95 -1
258 39 87 -1
235 69 76 1
238 71 97 1
236 58 92 -1
241 27 94 -1
251 26 73 -1
228 51 103 1
232 60 121 -1
183 69 105 -1
248 71 85 1
178 69 104 1
237 71 82 -1
180 16 97 -1
244 25 132 -1
226 65 141 -1
238 38 130 -1
243 52 87 -1
248 48 115 1
198 62 96 1
170 64 95 -1
181 59 130 -1
189 57 87 -1
258 34 96 -1
194 51 88 -1
249 71 85 -1
235 66 132 1
216 66 90 1
179 24 138 -1
248 35 89 1
176 45 129 -1
229 39 141 -1
189 70 100 1
175 53 70 1
168 25 86 -1
234 16 96 -1
247 44 94 1
248 36 84 1
241 67 129 -1
184 35 133 -1
186 60 143 -1
169 41 157 1
180 25 88 -1
172 10 145 -1
174 17 129 -1
199 50 89 -1
177 46 124 -1
168 51 144 -1
249 30 128 -1
179 66 79 -1
237 31 92 -1
233 18 150 1
250 75 96 1
176 43 94 -1
234 62 97 -1
244 58 83 1
178 36 118 -1
235 28 86 -1
187 56 85 -1
171 79 150 -1
236 44 147 -1
200 52 131 1
232 40 145 -1
178 34 85 -1
254 10 85 -1
236 47 145 1
241 50 123 -1
239 25 148 -1
160 38 94 -1
255 51 90 -1
161 57 140 -1
188 26 96 -1
250 44 135 1
161 72 157 1
183 53 94 -1
235 30 86 -1
256 52 95 1
175 70 139 -1
237 56 80 -1
232 69 94 1
195 31 146 -1
251 13 89 -1
189 55 75 -1
256 64 81 1
180 71 90 -1
167 56 141 1
181 36 121 -1
229 41 148 1
168 45 146 -1
246 45 90 -1
185 40 149 1
188 47 75 -1
189 62 148 1
176 62 141 -1
241 67 91 1
244 44 151 1
184 15 128 1
251 53 129 1
170 52 86 -1
231 24 135 -1
183 12 129 -1
167 65 135 1
162 25 138 -1
242 35 139 1
169 33 85 -1
225 25 120 -1
165 73 84 -1
240 59 83 1
234 14 155 1
189 41 99 -1
237 20 97 -1
189 26 149 -1
241 32 98 1
181 44 70 -1
243 42 97 1
252 13 152 -1
260 43 132 1
175 44 150 -1
231 62 82 -1
258 30 141 1
237 53 104 1
176 63 139 1
237 70 124 1
229 19 133 -1
163 21 153 -1
232 57 132 1
238 43 155 1
171 52 90 -1
179 25 128 -1
183 27 142 1
179 62 98 -1
232 50 139 1
236 86 142 -1
168 49 142 -1
229 48 86 1
240 60 146 1
239 53 96 1
250 35 93 1
247 25 86 -1
190 54 150 1
268 53 140 1
243 28 140 -1
184 63 144 -1
255 30 147 -1
168 34 88 -1
174 65 132 1
169 37 89 -1
234 58 143 1
236 36 84 -1
247 53 140 1
232 51 125 -1
193 20 92 -1
243 56 153 1
253 57 98 1
248 23 89 -1
165 58 145 -1
193 10 82 -1
174 28 140 -1
245 37 129 -1
253 80 129 -1
172 37 114 -1
186 55 148 -1
169 38 99 -1
185 71 156 1
180 52 98 1
226 27 83 -1
186 47 91 -1
236 68 136 1
164 43 87 -1
242 33 89 -1
224 45 100 1
240 47 84 1
231 60 85 -1
251 29 142 1
241 27 146 1
193 28 145 -1
172 30 99 -1
241 25 156 -1
181 52 68 -1
191 52 141 -1
242 32 123 -1
184 84 133 -1
234 78 148 1
239 27 130 1
172 10 133 -1
252 75 87 1
190 55 144 -1
230 41 80 1
176 62 94 -1
183 29 109 -1
246 50 95 1
229 28 156 -1
239 41 106 -1
239 71 130 1
190 20 95 -1
159 37 81 -1
233 22 137 -1
235 63 78 -1
196 55 101 -1
188 63 132 1
234 76 128 1
230 37 146 1
239 23 140 -1
249 57 147 1
154 37 90 -1
253 53 103 1
